chunk_id,summary
1,115年因財化法及「預算三減一」政策，導致公務預算齊頭式減列，博物館預算短缺高達四分之一，可能面臨關門危機，缺口約八千萬元，影響各部會補助，引發民怨。
2,博物館因政府補助削減，預算短缺約八千萬元，佔年度支出25%-28%。可用資金雖有兩億五千多萬，但已包含年初撥付的補助款，實質為活儲。面臨資金壓力，可能需調整開館時間以節省開銷。
3,這段對話討論財報法對地方補助的影響，擔憂補助減少導致業務困難，影響水電費、人事費等支出。Speaker_09認為財報法未經審慎研究，可能導致問題。提及中部/南部辦公室業務費，與自身僅剩七萬業務費形成對比。
4,這段對話主要討論114、115年度預算刪減的可能性，Speaker_09指示下級機關做好準備，可能預算刪減至四分之一，並強調逐步調整因應。廣播會報已於2月12日召開。
5,本次為114年2月12日第三次廣播會報，應出席及實際出席皆為14位。會前主持人與主席討論錄音開場程序，主席指示下次會前先喊「開始」。
6,上次會報紀錄正在討論，與會者確認並尋求是否需要調整修整，在未有異議下，開始進行嚴考報告的討論。
7,工業史經聽案與簽案不符，教育部預算遭砍11億多，後續經費取得困難。經會中確認已完成7項管考案，但現況與簽案落差大。
8,預算分配引發討論，Speaker_09認為中央不應控制地方預算，質疑管所預算被砍，並建議由收研組調整預算規劃，結合30週年展及特展，儘管未來經費狀況不容樂觀，仍應保持希望。
9,這段文字主要討論了博物館組織交流（SPEC會議）將改為兩年一次，今年不辦，並提及出貨計畫將取消，同時補充了國家發明獎相關資訊，以及收研組業務匯報決議辦的進行狀況。
10,這段對話討論了針對楊顧問的情報處理、與中華電信的協作進度，以及與市政展示組、社運組協同進行的相關事務。提及110年國家發明獎的升級。
11,嘉信遊艇公司拜訪事宜、國保天文植物儀採購案在11月提報，1月續辦，但需修正時程至2月。與會者討論修銷主任拜訪候選後續事宜，以及嘉信遊艇公司是否與先前拜訪的公司為同一家。
12,他們討論拜訪遊艇公會相關公司，加強資料蒐集與分析，以更深入了解產業生態。建議指派專業人員進行物件評估與ESG監測，並由慶泰加入傑克團隊共同研究。
13,這段錄音討論了圖書館設備淘汰與收藏議題，特別是針對身心障礙專責圖書館淘汰的視障電腦與萎縮膠捲拍攝機的處理，並強調多方了解其他圖書館的狀況。此外，也提醒報告撰寫的時間點規劃與錯別字（城）的修正。
14,國寶文創品追加製作一事，收言組提醒第14頁、15頁有錯字，並確認執行者。美訊頭已於一月送單請廠商加快製作，指示為補充貴賓贈品，提升互動性，型號為1342302。
15,這段對話討論未來送禮時，相較於過去送潘部長的小氣做法，應考慮禮物的「分量和等級」。提到「海森館」的鯨魚擺飾禮品，以及桃園縣教育局林次長（鄭文燦時期）。認為送禮需有一定規格，避免再次出現「小家子氣」的情況。
16,這段對話討論贈送禮物的規格與等級，認為贈送國寶比贈送硬碟或小禮品更有體面，避免送禮時顯得小家子氣。特別提到潘部長和市長的贈禮，以及11月時國寶禮品的庫存問題。
17,展示組完成聯電木拉克紀念館投影機修復，並於2月8日完成。同時，展示組拜訪遊艇服務公會潘太安理事長，就捷克與台灣遊艇合作狀況進行說明與討論，後續捷克廠商將與館長聯繫。
18,本段會議記錄討論113/114年度的製造進度報告，重點在於追蹤室內裝修許可延期至4月30號的各項作業進度，包含設計改善、圖審、試裝、軍工審查等，廠商因延誤將被發責，復驗由本機關辦理。
19,這段對話主要討論了試裝圖審與消防圖審的流程與時程安排，以及如何協調廠商與內部單位（如課教局、密疏室）加速審查進度，避免延宕至今年。強調書面確認流程與責任歸屬，避免口頭指示無效。
20,負責人朱玲、建良、秘書室需積極處理科工館驗收事宜，僅剩三次送件機會。Speaker_09強調時間掌握不精準、協作不足，要求每週報告進度，務必以管的立場處理，避免後果嚴重。
21,這段文字詳細說明了針對成人樂齡族群舉辦的活動規劃，涵蓋一一三、一一四年度已辦理及三至五月規劃的活動，包含東映影、無人機課程、全美科學營隊、3D筆燈籠、紅皙咖啡、精品洋酒品嚐等，並說明洋酒課程收費（每人2900元）、人數限制（10-30人）及拆帳比例（管方4成、對方6成）。
22,活動規劃於三月至五月，包含紅皙咖啡、創意琉璃、兒童節編織及與英蓋洋酒商合作的品酒課程（收費2900元/人，10-30人），課程拆帳比例為管方4成、對方6成。同時討論場地規劃問題，要求開放視線。
23,創客工廠績效不佳，參與人數低迷。Speaker_09建議檢討九月至本月半的創客課程統計數據，並要求科教主深入檢討創客工廠的績效，避免密密實實的營運模式。
24,工作人員成本高於營收，且未計算固定、隱性成本，能力部分也未精算。15年預算縮減四分之一，現有模式耗費水電等成本遠高於收入，建陽與創客的用人經費問題待解決。
25,創客工廠目前僅有助理、工讀生、約用人員（尹靜儀）在運作，但人員配置不足，導致創客工廠項目未能真正重視，推動困難。認為需要專人負責推動此項目。
26,Speaker_09要求柯教主檢討創客工廠十年來在科學博物館的發展狀況，認為投入大量人力物力卻成效不佳，建議借力使力，避免徒勞無功，並將此列為年度重點。
27,柯教主被要求改變以往作風，三到五月需開設課程吸引成年人參與，並確認活動是否符合創客工廠的定位，以期做出成績。
28,課程參與人數嚴重不足，僅有154人參與20幾場課程，平均每場5-7人，無法達到收支平衡，成本過高。
29,科教組面臨預算可能被砍四分之一的挑戰，需轉型服務對象，將重心從兒童轉向成人、樂齡族群。去年農年出生率低迷，未來十年可能面臨營運窘迫，研究人員需規劃大人科學、親子活動，吸引更多族群參與。
30,研究員應專注研發，避免重複勞力，科教組需落實正向發展與創新。Speaker_09批評現有業務報告重點不明，並要求重新更正，強調年度施政績效目標檢討與每月執行進度追蹤。醫院份子工作不止於機器人大賽及科普podcast。
