chunk_id,title,summary,tags
01_元宵節新年快樂_115年嚴峻財務狀況_預,元宵節新年快樂,115年因財化法及「預算三減一」政策，導致公務預算齊頭式減列，博物館預算短缺高達四分之一，可能面臨關門危機，缺口約八千萬元，影響各部會補助，引發民怨。,預算緊縮、財化法、博物館危機
02_博物館面臨經費缺口_嚴重影響營運_補助減,博物館面臨經費缺口 嚴重影響營運 補助減少八千萬 總計減少25%經費 可能需調整開館時間甚至關閉。,博物館因政府補助削減，預算短缺約八千萬元，佔年度支出25%-28%。可用資金雖有兩億五千多萬，但已包含年初撥付的補助款，實質為活儲。面臨資金壓力，可能需調整開館時間以節省開銷。,博物館預算、補助削減、預算短缺
03_財報法補助問題影響業務審核及成本效益檢討,財報法補助問題影響業務審核及成本效益檢討,這段對話討論財報法對地方補助的影響，擔憂補助減少導致業務困難，影響水電費、人事費等支出。Speaker_09認為財報法未經審慎研究，可能導致問題。提及中部/南部辦公室業務費，與自身僅剩七萬業務費形成對比。,財報法、地方補助、成本效益
04_預算可能刪減至四分之三做好準備,預算可能刪減至四分之三做好準備,這段對話主要討論114、115年度預算刪減的可能性，Speaker_09指示下級機關做好準備，可能預算刪減至四分之一，並強調逐步調整因應。廣播會報已於2月12日召開。,預算刪減、114/115年、應對準備
05_開始第三次廣播會報,開始第三次廣播會報,本次為114年2月12日第三次廣播會報，應出席及實際出席皆為14位。會前主持人與主席討論錄音開場程序，主席指示下次會前先喊「開始」。,廣播會報、開會程序、錄音準備
06_上次會報紀錄討論_嚴考報告,上次會報紀錄討論 嚴考報告,上次會報紀錄正在討論，與會者確認並尋求是否需要調整修整，在未有異議下，開始進行嚴考報告的討論。,會報紀錄、嚴考報告、討論確認
07_管考進度檢核會議已完成七項_工業史經聽案,管考進度檢核會議已完成七項,工業史經聽案與簽案不符，教育部預算遭砍11億多，後續經費取得困難。經會中確認已完成7項管考案，但現況與簽案落差大。,工業史、預算、經費、教育部、管考進度
08_預算引轉地方檢討管所預算遭砍特展規劃經費,預算引轉地方檢討管所預算遭砍特展規劃經費爭取希望彩券同仁,預算分配引發討論，Speaker_09認為中央不應控制地方預算，質疑管所預算被砍，並建議由收研組調整預算規劃，結合30週年展及特展，儘管未來經費狀況不容樂觀，仍應保持希望。,預算爭取、收研組、30週年展
09_博物館組織交流_SPEC會議兩年一次_今,博物館組織交流 SPEC會議兩年一次 今年不辦 國家發明獎業務匯報,這段文字主要討論了博物館組織交流（SPEC會議）將改為兩年一次，今年不辦，並提及出貨計畫將取消，同時補充了國家發明獎相關資訊，以及收研組業務匯報決議辦的進行狀況。,博物館交流、業務匯報、國家發明獎
10_國家發明獎中華電信楊顧問情報處理市政展示,國家發明獎中華電信楊顧問情報處理市政展示組社運組插隊進度,這段對話討論了針對楊顧問的情報處理、與中華電信的協作進度，以及與市政展示組、社運組協同進行的相關事務。提及110年國家發明獎的升級。,中華電信、國家發明獎、情報處理
11_國保選件天文植物儀採購事宜修正_嘉信遊艇,國保選件天文植物儀採購事宜修正,嘉信遊艇公司拜訪事宜、國保天文植物儀採購案在11月提報，1月續辦，但需修正時程至2月。與會者討論修銷主任拜訪候選後續事宜，以及嘉信遊艇公司是否與先前拜訪的公司為同一家。,遊艇採購、後續拜訪
12_拜訪公司加薪物件評估ESG環境監測現場勘,拜訪公司加薪物件評估ESG環境監測現場勘察專業人員合作深入研究完整資料,他們討論拜訪遊艇公會相關公司，加強資料蒐集與分析，以更深入了解產業生態。建議指派專業人員進行物件評估與ESG監測，並由慶泰加入傑克團隊共同研究。,遊艇公會、產業研究、ESG評估
13_執行情形報告時間點_報告撰寫時長_圖書館,執行情形報告時間點,這段錄音討論了圖書館設備淘汰與收藏議題，特別是針對身心障礙專責圖書館淘汰的視障電腦與萎縮膠捲拍攝機的處理，並強調多方了解其他圖書館的狀況。此外，也提醒報告撰寫的時間點規劃與錯別字（城）的修正。,圖書館、設備、收藏、報告、錯別字
14_收言組錯別字更正_國寶文創品追加製作_美,收言組錯別字更正,國寶文創品追加製作一事，收言組提醒第14頁、15頁有錯字，並確認執行者。美訊頭已於一月送單請廠商加快製作，指示為補充貴賓贈品，提升互動性，型號為1342302。,國寶文創品、美訊頭、追加製作
15_海森館的文創品送給次長且分量較大_與過去,海森館的文創品送給次長且分量較大,這段對話討論未來送禮時，相較於過去送潘部長的小氣做法，應考慮禮物的「分量和等級」。提到「海森館」的鯨魚擺飾禮品，以及桃園縣教育局林次長（鄭文燦時期）。認為送禮需有一定規格，避免再次出現「小家子氣」的情況。,送禮規格、海森館、桃園教育局
16_禮物等級分量送禮策略國寶硬碟市長中華電信,禮物等級分量送禮策略國寶硬碟市長中華電信小家子氣,這段對話討論贈送禮物的規格與等級，認為贈送國寶比贈送硬碟或小禮品更有體面，避免送禮時顯得小家子氣。特別提到潘部長和市長的贈禮，以及11月時國寶禮品的庫存問題。,贈禮規格、國寶禮品、禮儀體面
17_梅軒小組收研組收藏品書寫_展示組投影機修,梅軒小組收研組收藏品書寫,展示組完成聯電木拉克紀念館投影機修復，並於2月8日完成。同時，展示組拜訪遊艇服務公會潘太安理事長，就捷克與台灣遊艇合作狀況進行說明與討論，後續捷克廠商將與館長聯繫。,遊艇合作、修復報告、捷克交流
18_114年度工廠及活動進度報告_1月14號,114年度工廠及活動進度報告,本段會議記錄討論113/114年度的製造進度報告，重點在於追蹤室內裝修許可延期至4月30號的各項作業進度，包含設計改善、圖審、試裝、軍工審查等，廠商因延誤將被發責，復驗由本機關辦理。,室內裝修、進度追蹤、廠商發責
19_驗收流程試裝圖審消防圖審時間順序廠商配合,驗收流程試裝圖審消防圖審時間順序廠商配合責任確認協助加速,這段對話主要討論了試裝圖審與消防圖審的流程與時程安排，以及如何協調廠商與內部單位（如課教局、密疏室）加速審查進度，避免延宕至今年。強調書面確認流程與責任歸屬，避免口頭指示無效。,圖審流程、時程協調、責任歸屬
