chunk_id,summary
01_元宵節新年快樂_115年嚴峻財務狀況_預,科工館因財化法及公務預算「三減一」政策，預算將短缺約四分之一，導致八千萬缺口，可能面臨半年度關門危機。此舉不僅違反圖書館法（需每週開至少五十六小時），更恐影響各部會補助，引發民怨。科工館即使有盈餘也難以彌補此缺口，情況嚴峻。
02_博物館面臨經費缺口_嚴重影響營運_補助減,科工館因補助減少，營運面臨嚴重挑戰。原補助被刪減約八千萬，總計減少25%經費，可能需調整開館時間甚至關閉。即使有盈餘也難以彌補缺口。目前可用資金約兩億五千萬，但已是年初撥款，並非實際盈餘。科工館正評估開館時間，例如是否調整九點開館，以應對預算壓力。
03_財報法補助問題影響業務審核及成本效益檢討,科工館因財報法補助問題，可能面臨業務與成本效益的全面檢討，甚至涉及人事調整。Speaker_09認為財報法未審慎研究，恐影響地方補助，導致執行困難。科工館目前僅剩七萬業務費，相較於行政院中部/南部辦公室資源，處境艱困，須主事主管檢討各項業務。
04_預算可能刪減至四分之三做好準備,Speaker_09表示，科工館需為預算可能刪減至四分之三做好準備，115年度預算編列需審慎規劃，114年度預算應逐步調整因應。請各單位重新檢視所有預算支出，並以預算刪減四分之一的可能性進行思考。
05_開始第三次廣播會報,本次為科工館114年2月12日的第三次廣播會報，應出席與實際出席皆為14位。會前錄音準備部分，主席（Speaker_09）希望下次在發言前能先由他宣布開始，以便錄音有開場標記。Speaker_10已同意主席的要求。
06_上次會報紀錄討論_嚴考報告,上次會報紀錄已呈現於螢幕上，確認無須調整修整後，進入嚴考報告的討論。本次會議主要聚焦在嚴考報告的審閱與確認。
07_管考進度檢核會議已完成七項_工業史經聽案,館內管考進度檢核會議已完成七項。收研組與展示組呈報的「工業史經聽」案與實際現況不符，已由副館長退回。更重要的是，教育部預算遭大幅刪減，高達11億多，後續經費取得困難，未來需審慎評估相關作為。
08_預算引轉地方檢討管所預算遭砍特展規劃經費,科工館預算遭中央釋放到地方，導致管所預算被砍，此舉不合理。Speaker_09建議全面檢討引注地方預算，並請收研組調整內容，展示組配合規劃結合30週年展的特展。若預算持續遭砍，未來15、16年的展覽規劃將不容樂觀，仍冀望爭取經費。並提到藝教館館長以彩券鼓舞同仁。
09_博物館組織交流_SPEC會議兩年一次_今,收研組報告，關於博物館組織交流SPEC會議，已向SPEC執行長詢問，確認未來SPEC會議將兩年一次舉辦，因此今年不辦理。後續將取消相關出貨計畫。另，業務匯報決議事項中，需補充說明為「國家發明獎」。
10_國家發明獎中華電信楊顧問情報處理市政展示,科工館正處理與國家發明獎相關的情報，包含中華電信楊顧問的資訊。目前市政展示組、社運組正在處理插隊事件，並適時向中華電信報告進度。重點在於110年的升級辦理情形，以及後續的情報處理與事件進度更新。
11_國保選件天文植物儀採購事宜修正_嘉信遊艇,秘書記錄：
12_拜訪公司加薪物件評估ESG環境監測現場勘,Speaker_09建議針對加薪物件的評估，需深入研究完整資料，不應僅限一家公司，應擴大拜訪遊艇公會內多業者，了解其整體生態。建議指派專業人員進行物件評估，包含ESG環境監測與現場勘察，並與傑克、收研單位及慶泰合作，以更深入的研究成果。
13_執行情形報告時間點_報告撰寫時長_圖書館,科工館收言組應落實報告撰寫時程規劃，避免報告一直停留在撰寫階段。館長提及與台灣圖書館洽談淘汰視障電腦的可行性，並建議針對萎縮膠捲拍攝機的收藏，評估館內需求，可多方了解其他圖書館資源，不須鎖定單一來源。另提醒同仁注意報告十四頁一八三處仍有錯別字「城」。
14_收言組錯別字更正_國寶文創品追加製作_美,收言組需修正十四頁、一八三處的錯字（「城」字口字形問題）。科工館指示追加製作國寶文創品（型號一三四二三零二），藉由國寶故事性提高與貴賓互動。美訊頭已於一月送單請廠商加快製作。收言組負責錯字更正，文創品追加由相關單位執行。
15_海森館的文創品送給次長且分量較大_與過去,Speaker_09觀察到海森館送給林次長的文創品分量大且包裝正式，與科工館過去送潘部長時的小家子氣形成對比。他認為未來送禮時應考量分量和等級，避免讓科工館的禮品顯得寒酸。林次長為桃園縣教育局背景，在鄭文燦時期任職教育局長。
16_禮物等級分量送禮策略國寶硬碟市長中華電信,秘書回覆：
