chunk_id,summary
14_收言組錯別字更正_國寶文創品追加製作_美,收言組需修正十四頁一八三處「千層的城」錯字。科工館規劃追加製作國寶文創品（型號一三四二三零二），以提升與貴賓互動性，相關指示待執行單位確認。美訊頭已於一月送單請廠商加快製作。收言組亦需留意文創品製作進度。
15_海森館的文創品送給次長且分量較大_與過去,Speaker_09 觀察到各館送禮給次長（林次長，桃園縣教育局來）時，海森館送的文創品（銅製鯨魚擺飾，大布袋包裝）分量較大，與過去送潘部長時的「小家子氣」形成對比。未來送禮需考慮分量和等級，以符合對象的職位及重要性。此事件與鄭文燦時期教育局長人事異動有關。
16_禮物等級分量送禮策略國寶硬碟市長中華電信,科工館團隊討論禮品選擇策略，避免送禮時顯得小家子氣。原先考慮送給市長的「國寶硬碟」比送「中華電信硬碟」更有面子，且在11月時曾一度缺貨。Speaker_09 認為禮品的分量和等級很重要，建議送有分量的禮品，並在送禮時注意整體呈現效果。
17_梅軒小組收研組收藏品書寫_展示組投影機修,科工館收研組正進行年度收藏品書寫計畫，需加強故事性內容。展示組已於2月8日完成營運管理資訊專區聯電木拉克紀念館投影機修復。此外，展示組拜訪遊艇服務公會潘太安理事長，向其說明與捷克遊艇合作狀況，並獲理事長允諾協助聯繫相關廠商，預計兩天後回報進度，需加緊後續作業。
18_114年度工廠及活動進度報告_1月14號,科工館114年度工廠及活動進度報告：1月14日部分驗收發現兩項缺失，已於2月7日請設計建造單位改善。室內裝修許可延期至4月30日，目標3月24日前完成第一階段審查，4月21日前完成所有作業。因廠商延誤，將做出發責處理，復驗由本機關（科工館）辦理，由課教組負責。
19_驗收流程試裝圖審消防圖審時間順序廠商配合,會議討論試裝圖審與消防圖審的流程與時程，目標於3月24日前完成。Speaker_00 強調試裝與消防可同時進行，但需廠商配合，並由密疏室積極協助，以書面形式明確各單位責任，避免延誤（拖至現在）。Speaker_03則說明流程順序與時間點。
20_驗收進度嚴重延遲可能導致後果_責任人朱玲,科工館驗收進度嚴重延遲，已拖延至2月中，部分驗收仍未完成。Speaker_09 強調僅剩三次送件機會，若再次被拒絕將有嚴重後果。他責成朱玲、建良、秘書室積極辦理，務必以管的立場處理，並要求每週報告進度。秘書室需積極協助，釐清問題關鍵點，切勿僅由建良單獨處理。
21_活動辦理狀況紀錄_活動規劃一一三年度_一,科工館自一一三年度起積極規劃夜間活動，至二月已辦理十六場，包含十二場東映影和六場無人機課程（穿堂競賽場地）。三至五月規劃紅皙咖啡、琉璃飾品（回收玻璃瓶）、兒童節編織和精品洋酒品嚐（與英蓋洋酒商合作）。洋酒課程收費每人兩千九，限十至三十人，科工館分潤四成。課程內容包含酒品科學反應與盲飲測試，並針對成人樂齡族群設計。展示組協調全美科學營隊。
22_三到五月活動規劃紅皙咖啡創意琉璃兒童節編,三至五月科工館規劃多項活動，包含紅皙咖啡、創意琉璃、兒童節編織、及與英蓋洋酒商合作的洋酒品嚐課程（每梯次2900元，10-30人）。講師與館方拆帳比例為四六。活動強調品酒體驗與化學反應探討。 Speaker_09 指出空間規劃問題：原本可見綠地的區域被改為辦公及儲藏空間，影響上課體驗，要求重新整理牆面，開放視線。
23_天氣效應生意影響_創客課程參與人數_創客,創客課程參與人數與創客工廠績效需深入檢討。Speaker_09認為，營運模式需調整，避免密密實實造成參與者卻步，影響生意。請科教主針對九月至本月半的課程統計數據，確實檢討創客工廠績效，並將此列入紀錄，以利未來營運改善。
24_15年預算縮減四分之一_工作人員成本高於,科工館 15 年預算縮減四分之一，現行營收模式問題嚴重，工作人員及水電等固定成本、隱性成本未納入計算，且能力部分估算粗略。營收若僅計算材料費，恐入不敷出。需檢視計畫用人與創客空間經費，以及建陽部門的資源配置。
25_創客工廠人員配置不足影響推動進度_需要專,創客工廠推動進度受阻，主要問題在於人員配置不足。目前僅有助理、工讀生及約用人員尹靜儀，但尹靜儀身兼多職。Speaker_09認為，創客工廠未被視為重要工作項目，推動不易，亟需專人負責，想方設法推動發展。
26_檢討創客工廠十年發展空間及成效,科工館檢討創客工廠十年發展成效迫在眉睫。主要發言人要求柯教主負責檢討，評估創客工廠在科工館的發展空間與成效，避免人力物力投入徒勞無功。重點在於借力使力，提升發展效益。
27_柯教主需改變以往作風三到五月開設課程吸引,科工館今年度重點在於請柯教主改變以往作風，於三到五月開設課程，吸引成年人參與創客工廠活動，並確認其可行性及做出實際成績。目標在於確認創客工廠能主辦具吸引力的活動，並藉此評估成效。
28_課程行銷效果差_參與人數少_無利潤,課程行銷效果不佳，參與人數過少，導致無法收支平衡。目前已開辦二十幾場課程，總計僅有154人參與，平均每場約5-7人。Speaker_09認為現況不該持續，希望提升課程行銷，吸引更多人參與，包括「柯教主」與「工夫組」等不同對象。目前營運模式無法達到成本平衡。
29_預算可能被砍_轉型服務對象_科教組需規劃,科工館面臨預算可能被砍，需科教組轉型服務對象。由於台灣高齡化及出生率下降，未來若僅依賴年輕族群，館方營運將面臨困境。因此，科教組需規劃大人科學、親子活動、吸引年輕人與樂齡族群，並將研究人員的重點工作放在建立競賽模式，以提升效益並適應社會變遷。
30_模式建構後微調交給助理研究員副研究員_研,主要發言者（Speaker_09）強調研發人員應專注創新，避免重複勞力。要求科教組落實，業務報告需聚焦年度施政績效目標，檢討每月執行進度。批評現有報告內容雜亂無重點，以醫院份子的機器人大賽、科普podcast為例，要求重新更正報告內容，聚焦重點工作。
31_朱玲補件_工作重點報告_醫院大廈第二廂,科工館近期工作包含：醫院大廈第二廂課程從原訂66堂減至18堂，收入220萬較去年350萬減少，將於3月底提出檢討報告。東林營隊春季班已開放報名。偏鄉教師研習與科技教育競賽（永續能源、創意始作儀）持續進行。創客工廠規劃4/25-26、5/2-3課程。228連假有雙語科學大場館活動。Podcast、教育審議小組、文宣品設計（三角龍、湯籠集等）與教育部援助民族教育計畫申請案（上限350萬）也在進行中。
32_114暑假115寒假文宣品設計最後一次,科工館將完成114暑假與115寒假文宣品設計，後續由文化部、部工、混海生館接手。另，教育部韓文社交館援助民族教育活動展品設計計畫申請案上限350萬。各業務單位需確實執行業務報告與管考，並將1月份業務成果與指示事項於2月份的報告中列出，持續進行事項若需跨部門協調，亦可於報告中提報。
33_原住民教育計畫_科學節結合_博物館各項業,會議討論原住民教育計畫與科學節結合，科教組負責統籌，經費來自教育部原住民及特教預算，總額度350萬。科工館1月份工作重點包括38婦女節活動改至高梅館、中華電信家庭日洽談、原大證券企業家庭日(1300人)、智慧化導覽服務(中英日台語客語)、志工文創品兌換、高大服務學習(36位學生+39位學生)、樂齡計畫結合志工人力開課(茶療、咖啡、琉璃製作、創意編織)。105年服務收入最高4500萬，較往年增加600萬。
